topic,nr_tweets,exact_precision,exact_recall,exact_F1,partial_precision,partial_recall,partial_F1
00ecb565-8dcb-443e-875c-71babdce2269,4.0,25.0,11.364,15.625,27.5,12.5,17.188
0429b914-907a-4d79-aed8-5e2a7ebaa230,13.0,32.857,20.175,25.0,35.357,21.711,26.902
04373281-0764-483e-a96f-481562918702,13.0,17.5,43.75,25.0,17.5,43.75,25.0
0b3bea50-3a2c-4d07-953e-45aca9988634,20.0,25.794,14.773,18.786,34.127,19.545,24.855
11086b61-d705-4134-8ab0-ad944b31c898,7.0,28.409,31.25,29.762,31.818,35.0,33.333
1478bf7b-1c23-4235-9ed2-b8c287fc952c,8.0,33.333,25.0,28.571,33.333,25.0,28.571
17e7c861-f3cf-49d3-bf93-4daf4a99324c,5.0,15.625,4.31,6.757,17.188,4.741,7.432
1a0e4778-5711-48a0-879f-c5d0490c3918,10.0,4.167,4.545,4.348,9.375,10.227,9.783
1e8e36b3-ffbc-4618-b9f8-687ac4ec9883,21.0,0.0,0.0,0.0,0.0,0.0,0.0
203806f6-13f7-4edb-9d8b-d0d063285081,17.0,27.143,19.792,22.892,31.071,22.656,26.205
23432c8f-b9a6-42ac-8d41-9375967c8c4c,11.0,22.727,20.833,21.739,23.864,21.875,22.826
2f802367-c298-4816-b9c9-fcc30910123a,27.0,23.958,19.167,21.296,29.948,23.958,26.62
3a87affa-bcb1-46ad-a999-4a1e03869477,8.0,0.0,0.0,0.0,0.0,0.0,0.0
43fcbb87-a47a-45fa-a306-a83324ac9bc9,8.0,18.75,7.031,10.227,22.917,8.594,12.5
4a8f4814-0fd9-4ab0-8c4c-c873b56269ff,15.0,21.0,16.935,18.75,23.5,18.952,20.982
4bc04c2f-2d01-42d5-8311-e4005950d20f,11.0,25.0,3.448,6.061,25.0,3.448,6.061
4e74bbed-b449-48a8-a71c-f70499105289,4.0,33.333,11.111,16.667,37.5,12.5,18.75
4fef4b46-17e6-43a9-b762-f68b20c1d4ef,6.0,11.538,4.688,6.667,17.308,7.031,10.0
515100e7-e13c-4a1e-8abd-86748b375e11,4.0,32.5,8.125,13.0,38.75,9.688,15.5
5811057c-6732-4b37-b04c-ddf0a75a7b51,15.0,42.262,16.745,23.986,46.726,18.514,26.52
58bba8c3-41c6-43cb-953c-40ff68b343fc,9.0,18.182,2.985,5.128,19.318,3.172,5.449
5a07213b-7e81-4e0c-9dfa-758ae4c1ae3c,16.0,20.833,6.25,9.615,23.958,7.187,11.058
5d4e4fbf-b220-4f42-aed5-153725b27070,4.0,62.5,15.625,25.0,68.75,17.188,27.5
62821356-38aa-4ed6-90d8-1c32a2e99a8e,16.0,36.842,10.448,16.279,40.132,11.381,17.733
62e1db0d-c532-4fae-be44-5c7a5598fe9f,9.0,33.333,2.381,4.444,33.333,2.381,4.444
68047331-25e1-4af5-974b-766f1338bef0,7.0,38.889,5.738,10.0,43.056,6.352,11.071
6d9aec53-8d75-4e94-9535-23ddbb2841e2,23.0,24.359,16.379,19.588,30.769,20.69,24.742
79407845-619e-4ab4-8b06-eee52d11db49,12.0,27.5,12.5,17.188,31.875,14.489,19.922
79bb22c6-539f-4dd7-af2e-4d8672599d17,18.0,32.778,22.348,26.577,40.0,27.273,32.432
7ba01d52-a333-461d-bd91-a3bd9d5c043c,13.0,30.0,25.0,27.273,34.643,28.869,31.494
86ffe840-0a6b-4e7d-9490-e24636a3a214,10.0,28.571,17.391,21.622,31.25,19.022,23.649
89036bd9-737d-4865-a461-a5883a14e46d,29.0,5.263,10.0,6.897,5.921,11.25,7.759
899a8c22-3bf4-4274-ae6b-d3ac4ee451e3,10.0,41.667,4.386,7.937,50.0,5.263,9.524
8c014427-87f3-4686-880c-a7ee6e14cc89,9.0,16.667,50.0,25.0,16.667,50.0,25.0
92ae56ba-2a40-46e7-8788-f5bf9a9dfb56,12.0,27.174,5.388,8.993,33.152,6.573,10.971
94daebe1-46be-4efc-bbf8-22733d228e41,12.0,26.667,9.412,13.913,32.917,11.618,17.174
9c2abfde-02c5-4342-8a24-7c929090a6f8,21.0,15.833,27.941,20.213,19.167,33.824,24.468
9ce6dea5-1d7e-4648-bcc4-c53d3d4e4558,5.0,66.667,33.333,44.444,66.667,33.333,44.444
b5a591aa-8dd0-43d2-9961-ab19510f87ac,4.0,100.0,4.167,8.0,100.0,4.167,8.0
b88cbbed-d9b5-47e1-8ef1-cb5361e3544d,4.0,38.889,9.211,14.894,43.056,10.197,16.489
bb487a6c-0c13-4a30-a22b-bd865fef9f01,16.0,41.346,39.815,40.566,47.596,45.833,46.698
be94f275-223c-46bd-8efd-fafa03872368,4.0,3.571,0.862,1.389,5.357,1.293,2.083
bf88166e-76fe-4605-97df-bb63f5a1806c,17.0,31.0,23.485,26.724,35.0,26.515,30.172
bfc58ab8-8af2-45cd-9e4d-7db7c25613ec,13.0,40.278,24.167,30.208,45.139,27.083,33.854
c24983f3-70bc-4e1e-b1ab-75d559adc338,6.0,5.0,2.5,3.333,7.5,3.75,5.0
c8005766-131a-441a-bd69-00adaa3901f7,4.0,45.0,3.629,6.716,50.0,4.032,7.463
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,6.0,14.286,3.226,5.263,14.286,3.226,5.263
e7fc9f97-0952-4481-951b-583a3f17893e,5.0,0.0,0.0,0.0,4.688,1.339,0.0
e8097d28-cfda-4850-bbba-2e082da3511e,7.0,0.0,0.0,0.0,0.0,0.0,0.0
ea0a2276-afdb-4cd0-bdff-a02df7eec11c,6.0,41.667,8.333,13.889,45.833,9.167,15.278
eaac395b-6671-4b7e-80c9-2a81f1492aad,9.0,25.0,33.333,28.571,25.0,33.333,28.571
ef756748-9863-44d6-8cfc-66cbf0ccd975,9.0,17.5,21.875,19.444,22.5,28.125,25.0
ef972152-a7fb-4823-9895-62be487d9eaa,23.0,30.357,22.973,26.154,33.929,25.676,29.231
f0b9b1b7-f8c9-4da3-bd7d-ec07993c7c4a,4.0,0.0,0.0,0.0,0.0,0.0,0.0
f0c1a6e3-3fbd-4dff-8d29-9b11a56f8658,12.0,18.269,19.0,18.627,22.115,23.0,22.549
f5c00739-0880-4d50-b917-9d7ea72fae77,14.0,20.588,15.556,17.722,26.838,20.278,23.101
f853bd19-8f5b-468d-a261-a2cb9c7407bc,5.0,20.0,5.882,9.091,25.0,7.353,11.364
mean,11.05,26.09,14.01,15.72,29.44,15.86,17.86
