news_triple,best_tweets_triple,BERT,FastText,leven,rouge1
cricket fan - has painstakingly hand-built - plastic miniature stadium,cricket fan - hand builds - plastic miniature stadium,0.928,0.827,0.952,0.75
cricket fan - bought - parts,cricket fan - hand builds - plastic miniature stadium,0.765,0.496,0.613,0.333
cricket fan - bought - around world,cricket fan - hand builds - plastic miniature stadium,0.781,0.508,0.528,0.333
cricket fan - spending - nearly 3000 pounds,cricket fan - hand builds - plastic miniature stadium,0.764,0.477,0.527,0.333
cricket fan - spending - seven months,cricket fan - hand builds - plastic miniature stadium,0.748,0.435,0.564,0.333
cricket fan - putting together - plastic miniature stadium,cricket fan - hand builds - plastic miniature stadium,0.901,0.796,0.76,0.667
cricket fan - putting together - home,cricket fan - hand builds - plastic miniature stadium,0.771,0.555,0.502,0.333
cricket fan - putting together - coventry,cricket fan - hand builds - plastic miniature stadium,0.759,0.531,0.54,0.333
plastic miniature stadium - putting together - home,cricket fan - hand builds - plastic miniature stadium,0.668,0.362,0.278,0.0
plastic miniature stadium - putting together - coventry,cricket fan - hand builds - plastic miniature stadium,0.656,0.338,0.315,0.0
australian batsman phillip hughes - in memory of - australian batsman phillip hughes,australian batsman phillip hughes - build shaminder singhs - australian batsman phillip hughes,0.874,0.719,0.792,0.667
parts - bought - around world,model cricket ground - made - memory,0.675,0.234,0.16,0.0
nearly 3000 pounds - spending - seven months,cricket fan - hand builds - plastic miniature stadium,0.623,0.14,0.308,0.0
home - putting together - coventry,cricket fan - hand builds - plastic miniature stadium,0.64,0.261,0.281,0.0
