news_triple,best_tweets_triple,BERT,FastText,leven,rouge1
british lawmakers - rejected - right die bill,british lawmakers - rejects - anti corruption bill,0.786,0.745,0.757,0.444
right die bill - was debated - house commons,right die bill - legalise assisted dying in wales and england - right die bill,0.781,0.526,0.571,0.333
terminally ill adults - would have allowed - right die bill,right die bill - legalise assisted dying in wales and england - right die bill,0.771,0.558,0.592,0.333
legislation - to introduce - britain,right die bill - legalise assisted dying in wales and england - right die bill,0.666,0.313,0.333,0.0
figures - support - figures,right die bill - legalise assisted dying in wales and england - right die bill,0.617,0.156,0.276,0.0
late fantasy author terry pratchett - diverse - billionaire entrepreneur richard branson,right die bill - legalise assisted dying in wales and england - right die bill,0.671,0.225,0.414,0.0
late fantasy author terry pratchett - diverse - figures,right die bill - legalise assisted dying in wales and england - right die bill,0.637,0.18,0.346,0.0
billionaire entrepreneur richard branson - diverse - figures,right die bill - legalise assisted dying in wales and england - right die bill,0.644,0.176,0.387,0.0
118 members parliament - voted in favor - bill,right die bill - legalise assisted dying in wales and england - right die bill,0.729,0.475,0.694,0.222
330 - voted against - bill,right die bill - legalise assisted dying in wales and england - right die bill,0.653,0.413,0.453,0.167
prime minister david cameron - is against - prime minister david cameron,right die bill - legalise assisted dying in wales and england - right die bill,0.714,0.311,0.467,0.0
legislation - to push - house lords,british lawmakers - rejects right to die - law,0.682,0.403,0.494,0.083
