topic;leven_t2s;leven_random;leven_stanford
1478bf7b-1c23-4235-9ed2-b8c287fc952c;0.481;0.4;0.372
4bc04c2f-2d01-42d5-8311-e4005950d20f;0.497;0.456;0.457
4e74bbed-b449-48a8-a71c-f70499105289;0.544;0.491;0.472
5d4e4fbf-b220-4f42-aed5-153725b27070;0.474;0.452;0.404
86ffe840-0a6b-4e7d-9490-e24636a3a214;0.487;0.502;0.449
9c2abfde-02c5-4342-8a24-7c929090a6f8;0.642;0.437;0.505
9ce6dea5-1d7e-4648-bcc4-c53d3d4e4558;0.509;0.416;0.427
bb487a6c-0c13-4a30-a22b-bd865fef9f01;0.566;0.463;0.463
bf88166e-76fe-4605-97df-bb63f5a1806c;0.474;0.432;0.466
c24983f3-70bc-4e1e-b1ab-75d559adc338;0.59;0.505;0.65
e7fc9f97-0952-4481-951b-583a3f17893e;0.418;0.378;0.39
ef756748-9863-44d6-8cfc-66cbf0ccd975;0.452;0.481;0.412
